"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"309","NL","MD",556490.71404,33159.5,0,2084.72168501873,1785,6177224,510550
"310","NS","AB",339674.4,42703.5,1,3719.22815723741,776618000,4262635,969383
"311","NS","MD",556490.71404,42703.5,0,1289.38166435131,1344107,6177224,969383
"312","NS","NJ",853618.25613,42703.5,0,1039.68675133372,483990,9288994,969383
"313","NS","FL",1504330.4142,42703.5,0,2512.15374775262,10820014,21538187,969383
"314","NS","ND",80798.25825,42703.5,0,2759.25556184109,164408,779094,969383
"315","NS","NY",2371795.13721,42703.5,0,992.28521578947,60167195,20201249,969383
"316","NS","OR",330108.57042,42703.5,0,4553.16051374769,1603845,4237256,969383
"317","NS","MI",716840.87337,42703.5,0,1679.49039779406,491889,10077331,969383
"318","NS","PA",1064483.10039,42703.5,0,1222.3516672876,53495121,13002700,969383
"319","NS","IL",1188374.02842,42703.5,0,2059.84113090297,8073051,12812508,969383
"320","NS","ME",92496.47403,42703.5,0,511.502471476654,961791,1362359,969383
"321","NS","MS",154100.46033,42703.5,0,2645.87298717975,359777,2961279,969383
"322","NS","HI",123720.42138,42703.5,0,8677.62548659545,7332,1455271,969383
"323","NS","CT",380093.02611,42703.5,0,866.974658233478,162702898,3605944,969383
"324","NS","OH",932697.64812,42703.5,0,1662.80576426097,2883630,11799448,969383
"325","NS","NL",33159.5,42703.5,1,795.539089766901,236254000,510550,969383
"326","NS","AK",72381.86424,42703.5,0,5516.03071549522,772,733391,969383
"327","NS","IA",260420.71125,42703.5,0,2402.7533809881,4395435,3190369,969383
"329","NS","WA",807608.92746,42703.5,0,4382.56987900984,1028597,7705281,969383
"330","NS","MB",69243.2,42703.5,1,2648.62790407381,122909000,1342153,969383
"331","NS","IN",510642.47103,42703.5,0,1943.39982791731,249560,6785528,969383
"332","NS","MT",69948.32964,42703.5,0,3653.38342207718,49267,1084225,969383
"333","NS","PE",6778.2,42703.5,1,134.224989660891,176569000,154331,969383
"334","NS","WI",460310.36754,42703.5,0,2033.42559055375,4147240,5893718,969383
"335","NS","QC",425276.7,42703.5,1,720.639931824777,1432027000,8501833,969383
"336","NS","NE",176276.27658,42703.5,0,2759.81314406399,213352,1961504,969383
"337","NS","NH",116592.31458,42703.5,0,679.248186706411,7673824,1377529,969383
"338","NS","NV",244960.46859,42703.5,0,4436.96715428872,316996,3104614,969383
"339","NS","MO",444180.04038,42703.5,0,2490.6065574091,241770,6154913,969383
"340","NS","SC",331161.99633,42703.5,0,1944.27270746685,140407,5118425,969383
"341","NS","AL",311553.73158,42703.5,0,2413.10016197528,536752,5024279,969383
"342","NS","DE",104440.96245,42703.5,0,1189.18419517342,818605,989948,969383
"344","NS","AR",175981.17402,42703.5,0,2707.43155278727,3973224,3011524,969383
"345","NS","ON",833628.8,42703.5,1,1320.7341881423,1769016000,14223942,969383
"346","NS","KS",233625.69072,42703.5,0,2814.4331312438,286022,2937880,969383
"347","NS","ID",112029.37086,42703.5,0,4029.66495677804,62390,1839106,969383
"348","NS","TN",511961.8077,42703.5,0,2189.73403067732,296084,6910840,969383
"349","NS","BC",286182.1,42703.5,1,4231.43518049969,347213000,5000879,969383
"350","NS","GA",858100.65702,42703.5,0,2185.0428674108,5672865,10711908,969383
"351","NS","MN",510657.73038,42703.5,0,2351.48198407626,509108,5706494,969383
"352","NS","LA",341675.4231,42703.5,0,2919.19950931456,21643272,4657757,969383
